,id,english,translated
774,664272,In the perambulation lane there are cracks on the outer wall of the garbhgraha .,<unk> একাদশ মঠের ঔলির ওপর উপর আছে আছে ׀ ׀
775,664273,"Enter the amount ₹ 8,047 and proceed to topup!",<unk> বোতলের ₹ লেভেল লিখুন করুন
776,664274,The creation of anger takes place in the destructive part of our mind .,<unk> যাত্রার জীবনের কলার জীবনে দিকের ৷ গুণ
777,664275,"You know , initially when there were attempts to climb this peak then the porters there used to forbid to climb the Trishul Peak .",<unk> এই এই সময় ত্রিশূল ত্রিশূল পিকে ত্রিশূল ত্রিশূল
778,664276,Then all decided unanimously .,<unk> আগের দিন দিন মুছুন
779,664277,"Cause :- Working hard ceaselessly , running , diseases of heart valve myocarditis , more or infectious diseases , taking drugs , jaundice etc are main causes of heart dilation .","<unk> ব্রাক্ষী পীড়িত , রোগ অশ্বগন্ধা , , অশ্বগন্ধা হৃদরোগ ইত্যাদি ইত্যাদি রোগ রোগ ইত্যাদি ইত্যাদি রোগ ইত্যাদি ইত্যাদি"
780,664278,Law enforcement officers are not allowed to conduct cavity searches or strip searches in Pakistan.,<unk> কর্মকর্তাদের কর্মকর্তাদের কর্মকর্তাদের গহ্বর গহ্বর গহ্বর কর্মকর্তাদের নিযুক্ত
781,664279,If you want you can also go to the local Caribbean restaurant .,<unk> চাইলে চাইলে পৌঁছে বেড়ানোর যেতে চেষ্টা পারে করুন ৷ ৷
782,664280,Its attack can occur even from someone smoking a cigarette nearby .,<unk> এর থেকেও থেকেও নিস্কৃতি আরোহণ হতে করে পারে ৷ ৷
783,664281,"The book is an autobiographical novella, about his great-grandmother who travelled far and wide to find her husband, who ran away shortly after their marriage.","<unk> তাঁর হল একজন একজন অভিনেতা, অভিনেতা, অভিনেতা, যিনি যিনি হিংস্র হিংস্র হিংস্র আসে।"
784,664282,what is my most played song,<unk> আমার আমার সবচেয়ে
785,664283,In the rest inner part the net of wire like nerves are spread .,<unk> গরমের সময়ে সময় জাল তারের জাল জাল বেছানো আছে আছে
786,664284,The green leaves should be put at the rate of 12-15 tonnes/hectare.,<unk> বৃষ্টির চাষের জন্য জন্য পর্যাপ্ত করা চার্জ উচিত। করবে।
787,664285,"For example, imagine you have experience making coffee as a barista or waiter and want to turn your passion for good coffee into a small business.","<unk> উদাহরণস্বরূপ, আপনার আপনার জন্য জন্য আপনার আপনার এবং কফি এবং খাবার বৈদ্যুতিন এবং কফি আপনার আগ্রহকে আগ্রহকে আপনার"
788,664286,Almost 17 percent area of our mountains is covered by these .,<unk> এই প্রায় প্রায় ২৮ হিমবাহ শতাংশ ৷ ৷
789,664287,Not only during ascending or descending climber needs an ice axe each and every moment .,<unk> বিবাদ বিবাদ বা আধ ঘন্টা ঘন্টা আগে আগে করবেন । ৷
790,664288,will it rain at all this week,<unk> এই আবহাওয়া কি
791,664289,In these metal enzymes metal ion stays attached at active tip .,<unk> এর জীব জীব ইত্যাদি ইত্যাদি ৷ হয় ৷ ৷
792,664290,Avoid Coca-Cola and other such beverages .,<unk> এবং
793,664291,This is why when the Maurya King died then to acquire the power of Patliputra Ashoka had to finish off his brother .,<unk> এটা গেটের পরে যুদ্ধ যুদ্ধ অশোকের করার শাসক করার যুদ্ধ পরে করে অষ্টম দেন শতাব্দীর ৷
794,664292,Please use Aadhaar Card as the authentication document for the vaccine registration of user with mobile number 6635714856 .,<unk> মোবাইল মোবাইল নম্বর নম্বর ফান্ড ব্যবহার ব্যবহার করুন৷
795,664293,From these the name of one tributary has been kept on the name of former Prime Minister Indira Gandhi ` Priyadarshini Jaldhara ` .,<unk> এই বর্ণণা সুদর্শন সুদর্শন সুদর্শন দেবী দরবারের সিংহের পুত্র নাম আছে আছে ৷
796,664294,There he became the student of Ustaad Kadir Bakhsh and started learning tabor from him on a regular basis .,<unk> তিনি শিষ্য কাদির কাদির উস্তাদ শিষ্য উস্তাদ পেয়ে উস্তাদ হারিয়ে আর যান ৷ ৷
797,664295,This city can be divided into two parts .,<unk> এই শহরকে দুই দুই ভাগে বিভক্ত বিভক্ত করা যেতে যেতে পারে ৷ ৷
798,664296,Under deepotsav the view of Deepdan done in the Nehru Talai here is spectacular .,<unk> এখানে ভূটানের এখানে রথের এখানে এখানে এখানে এখানে এখানে আছে আছে ৷ ׀
799,664297,The oldest reference to Rajasthan is found in a stone inscription dated back to 625 CE.,<unk> ওড়িশার উপকূলবর্তী রাজধানি তীর্থঙ্কর তীর্থঙ্কর মহাদেব মহাদেব মহাদেব
800,664298,Before this the dance that was popular in the whole of India was somewhat like Bharatanatyam .,<unk> এই এই সিনেমা ছিল ছিল ভরতনাট্যমের । মধ্যে
801,664299,During war the scene of the field is worth seeing .,<unk> সারা সারা বিশ্বে বিশ্বে ৷ ৷
802,664300,The Buckingham Canal on the western side of the lagoon is the navigation route through the lagoon used by cargo and passenger vessels.,<unk> সুবর্ণরেখা উপত্যকা দ্বারা দ্বারা ঘেরা ইনাম পশ্চিমে পশ্চিমে এবং ঘেরা মাহি এবং ও দক্ষিনে মধ্যপ্রদেশের বিভক্ত দ্বারা অবস্থিত।
803,664301,how much btaxes,<unk> হ্যালো
804,664302,"Bharat - Bharti Award 2009 to author Dr. P. Maheep Singh , Mahatma Gandhi Award 2009 to Dr Kamal Kishore Goenka , Hindi Gaurav Award 2009 to Dr. P. Sarla Shukla , Mahatma Gandhi Award 2010 to Maitreyi Pushpa , Hindi Gaurav Awards 2010 to KP Saxena , Bharat - Bharti Awards 2011 to Govind Mishra , Mahatma Gandhi Award 2011 to Nasira Sharma and Shri Krishna Tiwari was awarded the Hindi Gaurav Awards 2011 .","<unk> অভিনেত্রী অভিনেত্রী অভিনেত্রী চৌহান , অভিনেত্রী অভিনেত্রী রায় , সিনেমা হিন্দি নগরী নগরী , নগরী ১৯৮০ জোহরের সালে"
805,664303,Till a few months earlier with the ambience inside and outside near the Red Fort we understand how careless we were towards our cultural wealth .,<unk> রাস্তায় কিছু গোলাপের দিন পৌঁছে পৌঁছে যায় ৷ ৷
806,664304,tweet british airways that my last flight from chicago to london was delayed,"<unk> ইমরান থেকে থেকে শুরু শুরু হয়েছিল করেছিলেন,"
807,664305,what's the us dollar rate today,<unk> স্টক খবর মূল্য
808,664306,"For example, you may say, ""I noticed the illegal construction on Friday, August 4th and it has continued until today, Monday, August 10th.""","<unk> উদাহরণস্বরূপ, আপনি আপনি কেবল মাল ২১ মাল বোতাম এবং পাবেন তারপর তুমি"
809,664307,By this there is a development of the muscles of the body .,<unk> এর ফলে ক্ষেত্রেও মাংসপেশীর ভাব মাংসপেশীর ৷ ভাব
810,664308,"Today , P.T.I. is the biggest news agency of Asia which prints news in English .",<unk> আজ পৃথিবীর বিশ্বের সবথেকে সবথেকে বেশি বেশি ৷ ৷
811,664309,40 percent labor is saved by shoot harvesting.,<unk> ৮০ শতাংশ শতাংশ ৭০ শতাংশ শতাংশ
812,664310,Therefore before any physical activity the right warm up is necessary .,<unk> অতঃপর যেকোনও যেকোনও ফিজিক্যাল পন্থা অ্যাক্টিভিটির ৷ প্রয়োজন
813,664311,It has a total course of 290 kilometres.,<unk> এটির ১৪০ ২৯০ কিলোমিটার।
814,664312,is the twenty third of april a saturday,<unk> দশের বাইশ তারিখ সমষ্টি
815,664313,Show me only Free vaccination center for CORBEVAX vaccine,<unk> আমাকে টিকার টিকার জন্য আমাকে দেখান দেখান
816,664314,The healer treats the diseased man through energy of hands .,<unk> কর্নিয়ার দ্বারা সাথে সাথে সাথে মেলে মেলে ׀
817,664315,"You know that today, the dominion of the world is enjoyed by the one who possesses the greatest strength.",<unk> তুমি বিশ্বের বিশ্বের অধিকারীই অধিকারীই অধিকারীই প্রভুত্ব প্রভুত্ব পাবে। দেবে।
818,664316,"In summer, hot winds called loo blow all across Uttar Pradesh.",<unk> পোকার জলপ্রপাত এলাকায় জলপ্রপাত
819,664317,"Among her television work, she was a talent judge on the third season of the dance reality show Jhalak Dikhhla Jaa.",<unk> তাঁর দশম চলচ্চিত্র চলচ্চিত্র বিলাস অন্যতম খেতাব সংসার দিখলা দিখলা
820,664318,"The salesperson will jump at the opportunity to make suggestions, and before you know it he or she is piling clothes in your hands.",<unk> এছাড়াও এবং পরিষ্কার ডান করার দিন জন্য আপনি নরম বিশ্রাম হবে করে। ।
821,664319,"The falls is up in the middle of forested hills, which is accessible only on foot from the base of the hills.",<unk> শহরটির থেকে থেকে থেকে থেকে থেকে বাম থেকে কিমি দূরে অবস্থিত।
822,664320,The first project of this kind was initiated on maize crop .,<unk> এই ভুট্টার ভুট্টার জিন ছিল ছিল ৷ ৷
823,664321,cancel meeting at three,<unk> মিটিং চালাও
824,664322,The use of nitrogen fertilizer is useful in local varieties .,<unk> তেলের তেলের চাষের ক্ষেত্রেও জন্য । ।
825,664323,what is a caftan,<unk> কি
826,664324,High blood pressure is dangerous for health .,<unk> কোলেস্ট্রল কোলেস্ট্রল কম
827,664325,hey put carrots on that,<unk> আরে তাতে অবহিত <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
828,664326,what is the exchange rate for pounds and u. s. d.,<unk> টাকার এবং বিনিময় বিনিময় হার হার কি
829,664327,what's going on with trump,<unk> আছে. কি
830,664328,Van Vihar situated near of Bhopal city is a different type of zoo .,<unk> অমৃতসরের শহরের থেকে কাছে ১০ অবস্থিত কি.মি. ৷ দূরে
831,664329,give me updates on the presidential candidate race,<unk> আমাকে আমাকে আগাম দিন অবহিত
832,664330,Come till the shoulders while massaging the wrist with both hands .,<unk> রোদে দিয়ে দিয়ে রাখুন রাখুন ৷ ৷
833,664331,This disease causes damage up to 70-80 percent .,<unk> সাধারণত জীবাণু স্ত্রীদের পর্যন্ত ফলে হয় এই রোগ
834,664332,Rampur village is located 3 km north of the railway station named Sankari Gali .,<unk> তিরুবনন্তপুরম ঝিল শহর হল থেকে উত্তরে কিলোমিটার অবস্থিত রয়েছে রয়েছে ׀ ׀
835,664333,It generates a significant proportion of Kerala's electrical power via the Idukki Dam and flows along a region of industrial and commercial activity.,<unk> এর এর ভৌগোলিক মধ্যে উল্লেখযোগ্য এবং উল্লেখযোগ্য এবং অঞ্চল এবং রয়েছে।
836,664334,"A glimpse of the living , culture and traditions of the tribes residing in this region can seen in this museum .",<unk> এই এই পরম্পরার সংগ্রহালয়ের মধ্যে বিখ্যাত বিখ্যাত কুন্ড ৷ দেখা
837,664335,Many people don't realize how many specialized discounts stores offer.,<unk> অনেক অনেক অনেক মানুষও নেই। নেই।
838,664336,"Carefully extract the small paddy plant with the seed of the nursery , soil and roots and plant it at shallow depth .",<unk> টমেটোর বীজের সাথে সাথে সাথে গাছের চারার গাছের উপর উপর ভীষণ করে করে ৷ ৷ <pad>
839,664337,The names of seven tones are given in starting .,<unk> প্রহসনের অভিব্যক্তির আয়োজন করা করা হয় হয় । ।
840,664338,"Shah Jahan appointed Aurangzeb as Viceroy of the Deccan, consisting of Khandesh, Berar, Telangana, and Daulatabad.",<unk> হায়দ্রাবাদের খ্রিষ্টাব্দে দৌলতাবাদের দৌলতাবাদের সমন্বয়ে সমন্বয়ে ঔরঙ্গজেবকে ঔরঙ্গজেবকে জয় জয় করেন। করেন।
841,664339,"Honey increases the eyesight , satiates the thirst .",<unk> মধু মধু পড়ুন পড়ুন ׀
842,664340,Vidhansabha Bhavan :- special attraction of the tourists .,<unk> পর্যটকদের পর্যটকদের পর্যটকদের আকর্ষিত আকর্ষিত করে করেছেন। ।
843,664341,The film is based on Neil Gaiman's novel of the same name.,<unk> নিল এই উপন্যাস উপন্যাস অবলম্বনে অবলম্বনে নির্মিত। নির্মিত।
844,664342,Now a days a trend of testing and treatment by telescope method has started .,<unk> এখন পর ব্যায়ামের পর পর দাঁত দাঁত সেরে সেরে যায় যায় ৷ ৷ <pad> <pad> <pad> <pad> <pad>
845,664343,Amongst the three sons of Wazeer Khan Pyare Khan became a good musician .,<unk> রাজা প্রেরণ প্রেরণ পুত্র পুত্র খেতাব । দেন
846,664344,"Women can get themselves treated easily for common diseases like headache , backache , fever etc by any doctor .",<unk> পেটের জন্তুর যন্ত্রনা জন্য চর্মরোগ কোমরের হয়েই জ্যোতি চিকিত্সককে চিকিত্সককে হতে পারে পারে ৷ ৷
847,664345,what is the condition of traffic from work to home,<unk> কর্মস্থল থেকে থেকে যানজটের ট্রাফিক ট্রাফিক কত? থেকে
848,664346,On applying pressure because of constipation blood comes out of these warts .,<unk> কৌষ্ঠকাঠিন্যের ফলে ফলে এই রক্তকে রোগে কমে কমে যায় ৷ ৷
849,664347,Mushroom is a pure vegetarian edible item whose farming can be started inside the house with less capital .,<unk> মাশরুম সুপাচ্য সুপাচ্য সুপাচ্য সুপাচ্য অ্যামিনো অ্যামিনো অ্যামিনো অ্যামিনো অ্যামিনো অ্যামিনো অ্যামিনো অ্যামিনো ৷ ৷
850,664348,"After this, he acted in Assamese feature films Grahan, Rishang and Rowd.",<unk> তারপরে এবং তিনি রবি রবি ছবিতে ছবিতে অভিনয় অভিনয় করেন। করেন।
851,664349,Chandigarh has the highest per-capita State Domestic Product (SDP) of any Indian union territory.,<unk> রাজ্যের রাজ্যের অধিকাংশ মোট প্রশাসনিক বিভাগে বিভাগে রয়েছে। রয়েছে।
852,664350,is it monday today,<unk> সোমবার বুধবার
853,664351,Face of patient also appears red sometimes and yellow at other times .,<unk> চুলকানি রোগে ও চুলকানি চুলকানি বেরোয় বেরোয় ৷ ৷
854,664352,But you may be able to find a nice dress in size 16 for your stepsister's graduation if you search well enough.,<unk> যদি যদি আপনি আপনার আপনার বোনের পছন্দের অ্যাপ্‌গুলি সঙ্গীকে আনতে পেতে পারেন। পারে।
855,664353,Keep it dry and wear cotton panties .,<unk> এর পরিষ্কার এবং করুন আহারে ৷
856,664354,As there was some time for presentation so we came through the sea shore .,<unk> প্রস্তুতি প্রস্তুতি আমরা আমরা আমরা কিছুক্ষণ কিছুক্ষণ ধরে ৷ আসি
857,664355,Kabhi Eid Kabhi Diwali is scheduled for theatrical release on 30 December 2022.,<unk> রবিবার ৭ এর নভেম্বর জন্মদিন দিবস উদযাপিত রয়েছে।
858,664356,Normally it reaches 90 % after 25 years .,<unk> ৮ শতাংশ ৯ পঞ্চাশ দিন দিন
859,664357,"This is a subject of metioning here that name of made musical instruments such as Dhol , Mridanga is spread in Sthanang Sutra but Bharat has refined these .","<unk> এটা একটি একটি ধারণা ধারণা , আছে কিন্তু , অন্য এখানেই এখানেই এখানেই পাওয়া পাওয়া যায় গেছে ׀"
860,664358,In the Pawitara Forest Area also one horned rhinocerouses can be seen .,<unk> পশ্চিমে পবর্তের আরাবলী অবস্থিত আনন্দ মধুমালাই করতে পাবেন পারেন ৷ ׀
861,664359,"Look into the cost of living numbers and consider the benefits of living within a city versus in a rural area, for example.",<unk> শহরের এবং এবং তালিকার তালিকার তালিকার তালিকার তালিকার তালিকার তালিকা তালিকা রয়েছে। রয়েছে।
862,664360,On the fresh direction of the ministry of information and broadcasting the Indian censor board has decided that an item song that contains vulgarity should be provided with A adult certificate which work as a gimmick in making a film successful .,<unk> পত্রিকার সাংস্কৃতির সাংস্কৃতির সাংস্কৃতির বার্তা ছাপা দেওয়া হয়েছে হয়েছে যে হিন্দী হিন্দী সিনেমাতে সিনেমাতে হিন্দী সিনেমাতে সিনেমাতে হিন্দী
863,664361,Although a lot happened at the name of development but the market went down due to recession .,<unk> কিন্তু পরবর্তী কিছু দিকে প্রগতি পত্রিকা ছিল ৷ ৷
864,664362,what's the latest on the train,<unk> পদ্মা কি কি
865,664363,add events,<unk>
866,664364,A gathering of newcomers remains at the historical old man temple dwelling at the foot of the mountain .,<unk> তলে তলে তলে অবস্থিত অবস্থিত আগন্তুকদের আগন্তুকদের আগন্তুকদের আগন্তুকদের আগন্তুকদের লেগেই লেগেই লেগেই লেগেই লেগেই লেগেই হয়েছে ׀
867,664365,Because of its being the best asana for making the heart strong dirghanaukasana is also called hridayastambhasana .,<unk> এর শ্রমের জন্য জন্য মেলে খুবই ৷ উত্তম
868,664366,how many words does it know,<unk> এটা বলো
869,664367,Take a look at your bank account and decide how much you’ll be able to set aside for holiday shopping this year.,<unk> আপনি এবং আপনার আপনার পরিবেশ ব্যাঙ্ক আপনার থাকবে। উপস্থিতির
870,664368,You can stop fluctuations of unbearable pain by carbamazepine and fenitoina or gabapentin or pregabalin .,<unk> বা বা বা কক্ষে বা বা বা বা বা জুতো জুতো বা বা ভিজে বিকৃতি দিতে বা পারেন
871,664369,at what age michael phelps got married,<unk> জন জাহানের মারা গেছে গেছে <pad>
872,664370,"Normally , doing BSF may keep you vigilant for breast cancer , but you must certainly get mammography done on having any node , unwanted pain or any type of secretion .","<unk> মর্ক-কোর-৬ / / আপনি আপনি শিশুর শিশুর , , পেট , , আপনি কি কি হতে হতে পারে"
873,664371,The signs that signify inaccurate form are known as inaccurate signs .,<unk> বলা বলে হয় যে ৷ সেগুলিকে
874,664372,"Apart from these Rajbhavan , Buddha cave , super market are also worth seeing in Itanagar .","<unk> এছাড়ও রাজভবন ভগ্নাবশেষ , সচিবালয় সচিবালয় , সচিবালয় আছে আছে ׀"
875,664373,"Thereafter, Salim married, in quick succession, several princesses from the aristocratic Mughal and Rajput families.","<unk> তারপরে, রাজপুত রাজপুত রাজপুত রাজপুত রাজপুত রাজকন্যাকে রাজকন্যাকে এবং পতিত রাজকন্যাকে হয়েছিল। পতিত"
876,664374,"That year Salman Khan invited Dhawan and Govinda to his show, 10 Ka Dum, to celebrate the success of 'Partner'.",<unk> দিল্লীর এবং সলমন সলমন সলমন বছর ০০০ বাই হিন্দ হিন্দ বাই নিয়ে দুর্গে অনুষ্ঠিত
877,664375,He elaborates upon this by illustrating the closely interconnected natures of the five main freedoms as he believes that expansion of one of those freedoms can lead to expansion in another one as well.,"<unk> তিনি তিনি এই এই রাজপ্রাসাদটি সম্ভ্রান্ত সাম্রাজ্যকে সাম্রাজ্যকে সাম্রাজ্যকে লাগে, লাগে, যে, যে, তিনি এই ধারা অংশগুলি শক্তির"
878,664376,Political parties run many movements to make their scheme popular and put lots of effort to motivate public .,<unk> প্রবন্ধ প্রবন্ধ প্রবন্ধ অনেক দেওয়ার জনতাকে জন্য সম্বন্ধিত । প্রশংসা করে করে ।
879,664377,"Here, the passer bounces the ball crisply about two-thirds of the way from his own chest to the receiver.",<unk> অম্বর অম্বর তার তার সাথে সাথে কথা তার নিয়ে প্রতিশ্রুতি পড়ে। পড়ে।
880,664378,Dwelling at a distance of approximately 80 kilometers from Madurai city Chettinad is a group of approximately 75 villages .,<unk> চামেলি থেকে থেকে ১৫০ কিলোমিটার কিলোমিটার দূরে উচ্চতায় অবস্থিত অবস্থিত ৷ ৷
881,664379,"In addition to saving for retirement, you also need to save for emergencies, like losing a job, costly car repairs, or unexpected medical expenses.",<unk> সেটার অনুযায়ী জন্য আপনাকে একটি কথা ফিটনেস নগদ বা বা ডেলিভারির কন্ট্যাক্ট জন্য করতে থাকেন। পারেন।
882,664380,There are no germs of its own in this ailment .,<unk> কুষ্ঠ কুষ্ঠ অসুখের কুষ্ঠ ফলেই কুষ্ঠ প্রাণ বংশ আছে আছে না ৷ ׀
883,664381,i need to calendar a meeting with allison on monday at ten am,<unk> সোমবার সোমবার সারাহ-র দশটায় সাথে একটি মিটিং মিটিং
884,664382,Among these Avicennia marina constitutes 99% of the mangrove population.,<unk> এগুলির বেশিরভাগই মধ্যে উপকূলীয় প্রতিফলিত রয়েছে।
885,664383,Animal husbandry and insect farming also has contribution in agriculture .,<unk> চাষের চাষের চাষের চাষের রয়েছে ৷ ৷
886,664384,"Several parts of North India have prospered as a consequence of the Green Revolution, including Punjab, Haryana and Western Uttar Pradesh, and have experienced both economic and social development.",<unk> তামিলনাড়ুর ভারতের ভারতের কিছু কিছু রাজ্য এবং দক্ষিণ ভারতের ভারতের উল্লেখযোগ্য উল্লেখযোগ্য আবাস। পেয়েছে।
887,664385,what steps do i need to do for shrimp parmigiana,<unk> চিংড়ি বানাতে আমার কি কি কি
888,664386,what are the coordinates of the equator,<unk> যুক্তির সংজ্ঞা কি কি
889,664387,replay the god of small things,<unk> নামের বর্ণনা জীবনী করুন
890,664388,Onion is a sulfur loving crop and the symptoms of scarcity & excess of sulfur is clearly seen in the crops but one does not know them due to lack of knowledge which reduces its production and storage capacity .,<unk> ভ্যানিলা যদি সম্পদ একটি উত্পাদনে নিকট বৃদ্ধি হ্রাস হয় কিন্তু কিন্তু কিন্তু কিনা বেশীরভাগ বেশীরভাগ কারণেই চাষী বৃদ্ধি
891,664389,There is very big collection of wine in a chateau built in 12th century in a very small town called Aigle to see which foreign toursists have to book in advance .,<unk> পদ্ম অনেক শহরে বিশাল অনেক শহরে বড়ো দর্শনীয় নক্সা নক্সা আছে যা হয়েছে হিমাচল ৷ মধ্যে
892,664390,save the new list,<unk> তালিকা
893,664391,He said that very soon a food security mission will be launched to stop the dependence on food import .,<unk> তিনি বলেন সাংবাদিকদের ব্যাপারে ব্যাপারে মনোযোগ আনার দেওয়া জন্য উচিত ৷ মনোযোগ
894,664392,"In any case, an eye care professional can conduct various tests, such as cover testing, to determine the full extent of the strabismus.",<unk> একই ধরনের ধরনের আন্দোলনের দ্বারাই দ্বারাই চললে চললে চললে চললে দেখবে। দেখবে।
895,664393,From the third year of the transplantation fruit starts to come out in the cardamom.,<unk> রোপণের থেকে পর তৃতীয় এলাচে সপ্তাহের থাকে। সময়।
896,664394,While buying shoes putting hand in the shoes check if the interior of the shoes is not rough .,<unk> যদি হলে যদি ভুলবেন মূত্রত্যাগ না করার করার ভয় প্রয়াস নেই করা ׀ হয়
897,664395,delete the old playlist and create new,<unk> তালিকার মুছুন মুছুন <pad>
898,664396,"Finally, other scholars argue that the very prosperity of the Empire inspired the provinces to achieve a high degree of independence, thus weakening the imperial court.","<unk> পরিশেষে, বলেছেন অন্যান্য যে, ধারা সমৃদ্ধি অর্জনে করেছিল, করেছিল, যে, যা অবসাদের আদালতকে অর্জনে ধ্বংসের অনুপ্রাণিত করেছিল। করেছিল।"
899,664397,did any emails come for me in the last five hours,<unk> কোন কোন কোন ইমেইল ইমেল আছে
900,664398,i need a reminder to call my mom at three p. m.,<unk> আমার আমার তিনটায় তিনটায় আমার একটি রিমাইন্ডার
901,664399,Motercycle Taxi Riders drive at a great speed in between the countless lines of cars .,<unk> পর্বতারোহণ কুণ্ড রোড - থেকে তীর্থযাত্রী অন্ধকার থেকে করে বেরোয় ৷ ৷
902,664400,Foreign tourists wishing tour in Manipur must have too get permission from the Ministry of Foreign Affairs .,<unk> পর্যটনে পর্যটনে পর্যটনে ইচ্ছুক ইচ্ছুক ফরেন বিদেশী বিদেশী ফরেন অ্যাফেয়ার্স থেকে ফরেন ফরেন অ্যাফেয়ার্স কাছেও থেকে সুবিধাপ্রাপ্ত করে
903,664401,If the skin has burnt till greater depths then take him immediately to the doctor .,<unk> যদি যদি যদি শুয়ে তার থাকে বিবাহের সঙ্গে সাথে স্থায়ী বাধ্য হয়ে হয় যায়
904,664402,book tomorrow's train ticket for me to bombay in any train,<unk> অলি আমার ট্রেনের ট্রেনের টিকিট টিকিট বুক বুক করুন
905,664403,"Third generation of Prem Nazir Shanavas's son Shameer Khan, acted in a Malayalam film, Uppukandam Brothers Back in Action.",<unk> ১৯৯৫ সালের নভেম্বর নভেম্বর প্রতিবন্ধী এলাহাবাদে ফিল্মসের সংসার চরিত্রে চুক্তিবদ্ধ অভিনয় করেন। করেন।
906,664404,Controls temperature and gives help in many health providing functions .,<unk> খাদ্যে আহারে ও ভরপুর ভিটামিন ৷ ৷
907,664405,Songs and music are not that significant in films but seem to stop the films from moving forward .,<unk> সেরকম সিনেমাতে গান বাজনার বাজনার গল্পকে গল্পকে গল্পকে গল্পকে গল্পকে গল্পকে গল্পকে গল্পকে গল্পকে গল্পকে গল্পকে গল্পকে গল্পকে
908,664406,Because of today `s modern life style our natural energy is used less .,<unk> আমাদের আমাদের নিজস্ব জলবায়ু সময়ই ৷ ৷
909,664407,olly what movies are playing in columbia,<unk> অলি আজ কি খবরে
910,664408,what is the us dollar equivalent of one euro,<unk> এক টাকার মূল্য সমষ্টি সমষ্টি
911,664409,please turn on repeat all,<unk> পুনরাবৃত্তি করুন করুন
912,664410,"When a person consumes excessively oily , sour and hot things then there is production defect in blood from their effect .","<unk> যখন যখন শরীরে শরীরে পীড়িত হয় পরিমাণে , জল ভাজা থেকে করে উপকার ৷ পাওয়া"
913,664411,You might want to give this card to a trusted friend or family member for safekeeping.,<unk> আপনি বা সীমাবদ্ধ লিখতে নিতে পারেন বা বা এই ব্যক্তির ব্যক্তির জন্য জন্য ।
914,664412,"Sachin `s ` Aatmvishvaas ` is a story of lower-middle class , ` English Vinglish ` is a rich resourceful class .",<unk> নারায়ণ ঘরানার হলেন নাম একজন হল কবিতা হল বংশের একটি উদাহরণ । ।
915,664413,One of the biggest expenses is likely your car.,<unk> আপনার একটি একটি গুরুত্বপুর্ণ
916,664414,If conception does not take place then a new menstrual cycle starts .,<unk> যদি হলে কোনও কোনও দিন বন্ধুর থাকে কেউই ৷ ৷
917,664415,post hey everyone on facebook,<unk> ফেসবুকে চালাও
918,664416,"At the Maa Patana Mangala Temple in Chhatrapada, Bhadrak, the Patua Yatra festival is held from 14 April to 21 April.",<unk> জম্মুর মন্দির অবস্থিত থেকে ১৯৯১ ১৯৯১ সাল সাল থেকে থেকে ১৬ ১৩ কিলোমিটার তারিখ
919,664417,The best time to go to Pobitara Wildlife Sanctuary is between November and March .,<unk> শ্রেষ্ঠ রেলওয়ে রেলওয়ে স্টেশন হল হল দিল্লীর ভালো ׀
920,664418,"The loss of this thought is suffered by the women associated with farming and associated sectors ( animal husbandry , fish farming , forestry and nursery etc ) .","<unk> এই কীট উদ্দেশ্য হল , মূলের , মূলের তথা কীট বীজের বানায় সাথে ৷ সম্পর্কযুক্ত"
921,664419,Add Rs ₹ 49 as the brokerage amount to Abhishek,<unk> সেবা সেবা -এ সেবা যোগাযোগ করুন। করুন।
922,664420,The penultimate king of Zhangzhung is said to have been from Ladakh.,<unk> রাজা স্টান্ট ৭ম ৯৯ থেকে । ছিল।
923,664421,The nearest railway station of Madayipara Pazhayangadi is at a distance of 2 k.m. .,<unk> নিকটতম হল রেলওয়ে কাছের স্টেশন রেল । । ׀
924,664422,Always take proper and healthy diet .,<unk> খাবার
925,664423,In Chinese calendar this is the year of ox .,<unk> এর এর প্রথম আয়োজন করা করা হয় ৷ ।
926,664424,"Abnormal discharge from vagina , irregular periods , pain , burning sensation during sexual activity , bleeding on touch etc .","<unk> চুলকানি , , বায়ু , , যৌনক্রিয়ার ব্যাথা ব্যাথা , , দাস্ত দাস্ত , ৷ যকৃতের"
927,664425,In scientific language this situation may be called neursthania .,<unk> এর এই ক্ষেত্রে কোষকে বলা বলা হয় ৷ ৷
928,664426,Gardening is also a form of agriculture .,<unk> মটরশুটি মটরশুটি একটি ।
929,664427,The rail head to reach Gir National Park Sasan Village is very near to the park .,<unk> মরুস্থল মরুস্থল রাষ্ট্রীয় রাষ্ট্রীয় উদ্যান উদ্যান ׀ ׀
930,664428,Staying in this position for a comfortable period come back to the previous state .,<unk> এই এই সময়ে গরমের ঠান্ডার সময় সময় চলে চলে যায় যায় ৷
931,664429,"An Al Jazeera cameraman working in Libya was killed in an alleged ambush on Saturday, as he was returning with his team to the rebel-held city of Benghazi.","<unk> তাঁর তাঁর একটি একটি মালয়ালম মামলা পুত্রের করেছিলেন, সাথে আকবর তাঁর আকবর একটি মুঘলদের মুঘলদের সাথেও তীরে তাঁর"
932,664430,"Yes , Amir Khan and Ajay Devgan are such actors amongst these superstars about whom we hear fewer cases of injures .","<unk> এই , কথার ক্রোধ মতোই পেয়েছেন এই , প্রহসনের ? মধ্যে"
